predictor,deployment_rank,selected_outer_folds,selection_frequency
MetaRNN_rankscore,1,24,0.96
am_pathogenicity,2,25,1.0
CADD_PHRED,3,25,1.0
PHACTboost_rankscore,4,25,1.0
gMVP_rankscore,5,22,0.88
MutationTaster_rankscore,6,25,1.0
REVEL_rankscore,7,20,0.8
Eigen-raw_coding_rankscore,8,25,1.0
VARITY_R_LOO_rankscore,9,18,0.72
ESM1b_converted_rankscore,10,25,1.0
PrimateAI_rankscore,11,25,1.0
fathmm-XF_coding_rankscore,12,25,1.0
MVP_rankscore,13,25,1.0
MutationAssessor_rankscore,14,25,1.0
GERP++_RS_rankscore,15,25,1.0
phyloP100way_vertebrate_rankscore,16,25,1.0
phyloP470way_mammalian_rankscore,17,25,1.0
phastCons100way_vertebrate_rankscore,18,25,1.0
SpliceAI_DS_max,19,25,1.0
EVE_SCORE,20,25,1.0
MetaSVM_rankscore,21,25,1.0
DEOGEN2_rankscore,22,24,0.96
MetaLR_rankscore,23,9,0.36
bStatistic_converted_rankscore,24,10,0.4
MutFormer_rankscore,25,22,0.88
