Gene,n_total,n_evaluable,TP,TN,FP,FN,sensitivity,specificity,PPV,NPV,F1,MCC,balanced_accuracy,AUROC,AUPRC,Brier,cal_intercept,cal_slope,n_B,n_LP,B_V0,B_V1,B_V2,B_V3,B_V4,LP_V0,LP_V1,LP_V2,LP_V3,LP_V4,sensitivity_lo,sensitivity_hi,specificity_lo,specificity_hi
BRCA1,564,528,193,306,15,14,0.9323671497584541,0.9532710280373832,0.9278846153846154,0.95625,0.9301204819277108,0.8848860772412763,0.9428190888979187,0.9841678330097672,0.9759797535113997,0.04087591064813675,-0.9089759157686347,1.13516910848647,347,217,291,15,0,3,12,6,3,5,3,190,0.8896906730166741,0.9592884649088379,0.9243415550176715,0.9714800590157071
BRCA2,390,383,77,289,13,4,0.9506172839506173,0.956953642384106,0.8555555555555555,0.9863481228668942,0.9005847953216374,0.8741208733982239,0.9537854631673617,0.990025345433734,0.9743439212831355,0.06547221471589341,-2.9513035823857825,1.4294035728535306,306,84,248,24,17,7,6,1,2,1,1,76,0.8797976969460369,0.9806306945805195,0.9277547923132787,0.9746735475512713
PALB2,40,39,5,33,0,1,0.8333333333333334,1.0,1.0,0.9705882352941176,0.9090909090909091,0.8993461677306268,0.9166666666666667,0.9848484848484849,0.9444444444444444,0.028373587399093705,0.1388615375038633,1.4554491421486224,34,6,31,2,0,0,0,1,0,0,0,5,0.4364971749742326,0.969946630588185,0.8957300009841286,0.9999999999999999
ATM,142,134,63,62,3,6,0.9130434782608695,0.9538461538461539,0.9545454545454546,0.9117647058823529,0.9333333333333333,0.8665998478328037,0.9334448160535117,0.9924191750278707,0.9931956436374875,0.037043153423272156,0.6628191967002716,1.1539462885102445,67,75,61,0,1,3,0,2,0,4,3,60,0.8229850157229862,0.9595363790350239,0.8728615264890243,0.984180159709612
CHEK2,17,17,7,8,0,2,0.7777777777777778,1.0,1.0,0.8,0.875,0.7888106377466154,0.8888888888888888,0.9722222222222222,0.9797979797979799,0.06620232460236557,1.6123154181595298,0.9856293725817004,8,9,8,0,0,0,0,1,1,0,0,7,0.4525889666922117,0.9367748934594303,0.6755924316585924,1.0
TP53,330,313,192,109,1,11,0.9458128078817734,0.990909090909091,0.9948186528497409,0.9083333333333333,0.9696969696969697,0.9197838025286973,0.9683609493954322,0.9899238692342142,0.9955918451600508,0.03130971545243071,0.9709251968219393,1.2324442555914792,121,209,104,3,2,1,0,7,2,2,12,180,0.9055897140009062,0.9694766338141798,0.950294347397897,0.9983934247134306
PTEN,233,212,207,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015797023181382088,0.7800186857528105,5.271057990033269,22,211,5,0,0,0,0,0,0,0,1,206,0.9817803438579944,0.9999999999999998,0.5655175313406071,1.0
CDH1,109,109,18,80,9,2,0.9,0.898876404494382,0.6666666666666666,0.975609756097561,0.7659574468085106,0.7163096253083577,0.899438202247191,0.9691011235955056,0.8905180253543634,0.08219270581439493,-1.9300771568919883,0.8232231728221736,89,20,78,0,2,1,8,1,1,0,0,18,0.6989663528135878,0.9721335190383086,0.8188630999300098,0.9458814533710992
STK11,40,39,32,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00039105325759272556,0.9513819352718712,2.8625628249578057,7,33,7,0,0,0,0,0,0,0,0,32,0.8928208002353198,1.0000000000000002,0.6456695613241317,1.0
BARD1,27,25,2,23,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003790327402764102,-0.3523568045357981,2.884532932287372,24,3,23,0,0,0,0,0,0,0,0,2,0.3423802239546494,1.0,0.8568833796149266,1.0
