predictor,missing_n,missing_fraction,observed_mean,observed_sd
BayesDel_addAF_rankscore,102,0.04722222222222222,0.6037510009718173,0.33548856946457867
BayesDel_addAF_score,102,0.04722222222222222,0.13365755324975703,0.33576463157342684
BayesDel_noAF_rankscore,102,0.04722222222222222,0.6644941448007774,0.28237347141703895
BayesDel_noAF_score,102,0.04722222222222222,0.04343226660252673,0.3961612412515614
ClinPred_rankscore,105,0.04861111111111111,0.4769287639902676,0.36886848712976344
ClinPred_score,105,0.04861111111111111,0.581719109315815,0.43105216206184693
DANN_rankscore,102,0.04722222222222222,0.5308088775510204,0.3263788759650085
DANN_score,102,0.04722222222222222,0.8930557225223518,0.2148569148883449
DEOGEN2_rankscore,116,0.053703703703703705,0.7246437426614482,0.21932696266481064
DEOGEN2_score,116,0.053703703703703705,0.4638179735812133,0.31361379001005546
ESM1b_converted_rankscore,101,0.04675925925925926,0.524519227780476,0.3220421896413198
ESM1b_score,101,0.04675925925925926,-7.897461923644489,4.693596778132724
Eigen-PC-phred_coding,102,0.04722222222222222,4.610366819227891,4.43971971412961
Eigen-PC-raw_coding,102,0.04722222222222222,-0.04003859723323613,0.8092333031077824
Eigen-PC-raw_coding_rankscore,102,0.04722222222222222,0.48766150145772597,0.32863693389781995
Eigen-phred_coding,102,0.04722222222222222,4.639267720394072,4.323371875950803
Eigen-raw_coding,102,0.04722222222222222,-0.006623161500971833,0.8298215038049019
Eigen-raw_coding_rankscore,102,0.04722222222222222,0.4941321768707483,0.3320608049329246
GERP++_NR,102,0.04722222222222222,5.227951895043732,0.5383499846734143
GERP++_RS,102,0.04722222222222222,2.8090569970845483,3.3820343705196
GERP++_RS_rankscore,102,0.04722222222222222,0.47225156948493685,0.28489195970445413
GERP_91_mammals,592,0.2740740740740741,1.6285960778061224,3.4177369838245832
GERP_91_mammals_rankscore,592,0.2740740740740741,0.4894190497448979,0.3116321746683146
LIST-S2_rankscore,497,0.2300925925925926,0.6121060553217077,0.2643051341708123
LIST-S2_score,1597,0.7393518518518518,0.8279793678507994,0.19170190602020382
MPC_rankscore,258,0.11944444444444445,0.3897544532071504,0.32353704198099864
MPC_score,1326,0.6138888888888889,1.2233615214952038,1.076436982372543
MVP_rankscore,159,0.07361111111111111,0.8286282858570715,0.19750922734877538
MVP_score,285,0.13194444444444445,0.8289182525274666,0.1983937882439702
MetaLR_rankscore,113,0.052314814814814814,0.7010506839276991,0.3360401011969185
MetaLR_score,113,0.052314814814814814,0.5476141670737664,0.3737785921344391
MetaRNN_rankscore,112,0.05185185185185185,0.57016158203125,0.37884055500835667
MetaRNN_score,247,0.11435185185185186,0.534205802941976,0.40035449806901285
MetaSVM_rankscore,113,0.052314814814814814,0.7189461016121153,0.27875680043385254
MetaSVM_score,113,0.052314814814814814,0.05075969711773324,0.8478675958199785
MutFormer_rankscore,115,0.05324074074074074,0.9607530953545232,0.08553109521846004
MutFormer_score,115,0.05324074074074074,0.9361229759511003,0.1950309750046358
MutPred2_rankscore,112,0.05185185185185185,0.49590781738281253,0.3305453932838488
MutPred2_score,112,0.05185185185185185,0.4337826486088867,0.3335638339505047
MutationAssessor_rankscore,166,0.07685185185185185,0.5979043580742226,0.3022259737619708
MutationAssessor_score,166,0.07685185185185185,2.134450852557673,1.3399744202431427
MutationTaster_rankscore,454,0.2101851851851852,0.6581581301289567,0.3367497075809516
PHACTboost_rankscore,497,0.2300925925925926,0.6894521888153938,0.30014444307279886
PHACTboost_score,497,0.2300925925925926,0.6452625833962717,0.4235506380267874
PROVEAN_converted_rankscore,113,0.052314814814814814,0.5659517586712263,0.3065772956668692
PROVEAN_score,247,0.11435185185185186,-2.7478985886042864,2.7871629064545558
PrimateAI_rankscore,166,0.07685185185185185,0.3778449598796389,0.31183270766054605
PrimateAI_score,166,0.07685185185185185,0.4899621955807422,0.22186148181845813
REVEL_rankscore,113,0.052314814814814814,0.7216179579872986,0.27808541426214567
REVEL_score,247,0.11435185185185186,0.5506168322007318,0.31630086715957834
