comparator,repeat,n,AUROC_HBOCpred,AUROC_comparator,AUPRC_HBOCpred,AUPRC_comparator
REVEL,1,2046,0.9885932583145497,0.9359247426340077,0.9890499170435318,0.9405702948787458
REVEL,2,2046,0.9912773107141791,0.9359247426340077,0.991977474828246,0.9405702948787458
REVEL,3,2046,0.9914591336186702,0.9359247426340077,0.9909850499073006,0.9405702948787458
REVEL,4,2046,0.9918805009846334,0.9359247426340077,0.9923507661825377,0.9405702948787458
REVEL,5,2046,0.9910974118615874,0.9359247426340077,0.9915523953483292,0.9405702948787458
MetaLR,1,2046,0.9885932583145497,0.8773479445834573,0.9890499170435318,0.8583733086101232
MetaLR,2,2046,0.9912773107141791,0.8773479445834573,0.991977474828246,0.8583733086101232
MetaLR,3,2046,0.9914591336186702,0.8773479445834573,0.9909850499073006,0.8583733086101232
MetaLR,4,2046,0.9918805009846334,0.8773479445834573,0.9923507661825377,0.8583733086101232
MetaLR,5,2046,0.9910974118615874,0.8773479445834573,0.9915523953483292,0.8583733086101232
VARITY_R,1,1662,0.9886928991406604,0.9563255981166429,0.9909816817530362,0.9626977438096881
VARITY_R,2,1662,0.9911587169049855,0.9563255981166429,0.9932689637686772,0.9626977438096881
VARITY_R,3,1662,0.9910021570469332,0.9563255981166429,0.9922348239431876,0.9626977438096881
VARITY_R,4,1662,0.9914341462848926,0.9563255981166429,0.9934162753993595,0.9626977438096881
VARITY_R,5,1662,0.9906991847290356,0.9563255981166429,0.9927947806649633,0.9626977438096881
BayesDel addAF,1,2046,0.9885932583145497,0.9629937477933528,0.9890499170435318,0.9618390002593209
BayesDel addAF,2,2046,0.9912773107141791,0.9629937477933528,0.991977474828246,0.9618390002593209
BayesDel addAF,3,2046,0.9914591336186702,0.9629937477933528,0.9909850499073006,0.9618390002593209
BayesDel addAF,4,2046,0.9918805009846334,0.9629937477933528,0.9923507661825377,0.9618390002593209
BayesDel addAF,5,2046,0.9910974118615874,0.9629937477933528,0.9915523953483292,0.9618390002593209
AlphaMissense,1,2015,0.9883311645157568,0.9620461898451583,0.9885884715155469,0.964255331060893
AlphaMissense,2,2015,0.9910232839479644,0.9620461898451583,0.9915332801578618,0.964255331060893
AlphaMissense,3,2015,0.9912600631145813,0.9620461898451583,0.9905686602349407,0.964255331060893
AlphaMissense,4,2015,0.9916420933666018,0.9620461898451583,0.9919245728234977,0.964255331060893
AlphaMissense,5,2015,0.9908461970082256,0.9620461898451583,0.991097536062587,0.964255331060893
