predictor,SMD,anchor_missing,application_missing
MetaRNN_rankscore,-0.2763277970528515,0.05185185185185185,0.0
am_pathogenicity,-0.5295910205529283,0.06620370370370371,0.0
CADD_PHRED,-0.15551996662401174,0.010648148148148148,0.0
PHACTboost_rankscore,-0.5349215101633682,0.2300925925925926,0.17450033196730694
gMVP_rankscore,-0.3702783272535086,0.05185185185185185,0.00020604867327548708
MutationTaster_rankscore,-0.5899269388294572,0.2101851851851852,0.27635705945648936
REVEL_rankscore,-0.6078458499969067,0.052314814814814814,0.0
Eigen-raw_coding_rankscore,-0.2609485598322241,0.04722222222222222,0.0
VARITY_R_LOO_rankscore,-0.44750902998744285,0.23055555555555557,0.17450033196730694
ESM1b_converted_rankscore,-0.4001663559515484,0.04675925925925926,0.0
PrimateAI_rankscore,-0.28712355053802446,0.07685185185185185,0.015201813228324824
fathmm-XF_coding_rankscore,-0.3279497585902047,0.04861111111111111,0.0026557384555507225
MVP_rankscore,-0.2816512455747253,0.07361111111111111,9.15771881224387e-05
MutationAssessor_rankscore,-0.2550565678651005,0.07685185185185185,0.0018544380594793836
GERP++_RS_rankscore,-0.03408689576173864,0.04722222222222222,0.0
phyloP100way_vertebrate_rankscore,-0.1734474064289549,0.04675925925925926,0.0
phyloP470way_mammalian_rankscore,-0.20093745055224185,0.047685185185185185,0.0009615604752856063
phastCons100way_vertebrate_rankscore,-0.09826541140838857,0.04675925925925926,0.0
SpliceAI_DS_max,-0.19347504644474892,0.012962962962962963,0.0
EVE_SCORE,-0.4150828112026213,0.3384259259259259,0.4003525721742714
MetaSVM_rankscore,-0.5211735730327441,0.052314814814814814,0.0
DEOGEN2_rankscore,-0.5341991850819877,0.053703703703703705,0.0
MetaLR_rankscore,-0.41628506775574925,0.052314814814814814,0.0
bStatistic_converted_rankscore,0.16972342436634447,0.04675925925925926,0.0
MutFormer_rankscore,-0.34024936666512356,0.05324074074074074,0.00013736578218365806
